proposicao,id_camara,id_senado,apelido,tema,prioridade,advocacy_link,keywords,tipo_agenda,explicacao_projeto,situacao,norma_atacada
PDL 281/2019,2203903,,,Meio Ambiente,,,,,,Tramitando em Conjunto - Apensado ao PDL 229/2019,"Decreto n° 9.784, de 07 de maio de 2019, que altera o Decreto nº 6.514, de 22 de julho de 2008"
PDL 92/2020,2241699,,,Indígenas,,,,,,Aguardando Autorização Devolução,Portaria nº 419/PRES/FUNAI de 17 de Março de 2020
PDL 294/2019,2204564,,,Meio Ambiente,,,,,,Aguardando Parecer,"Portaria Ibama n° 1.135, de 3 de abril de 2019"
PDL 408/2020,2263378,,,Mineração,,,,,,Aguardando Autorização do Despacho,"Resolução nº 46, de 8 de setembro de 2020, da Agência Nacional de Mineração,  que altera o art. 1o da Resolução no 28, de 24 de março de 2020,"
PDL 641/2019,2221765,,,Meio Ambiente,,,,,,Pronta para Pauta,"Portaria ibama nº 24, de 16 de agosto de 2016, alterada pela Portaria nº 3.326, de 12 de setembro de 2019 (Regulamento Interno de Fiscalização Ambiental)"
PDL 166/2020,2250646,,,Indígenas,,,,,,Aguardando Autorização Devolução,"Instrução Normativa n° 9, de 16 de abril de 2020, da Fundação Nacional do Índio - FUNAI"
PDL 171/2020,2250702,,,Indígenas,,,,,,Aguardando Autorização Devolução. Será apensado ao PDL 166/2020,"Instrução Normativa n° 9, de 16 de abril de 2020, da Fundação Nacional do Índio - FUNAI"
PDL 247/2020,2254012,,,Indígenas,,,,,,Aguardando Autorização Devolução,"Instrução Normativa n° 9, de 16 de abril de 2020, da Fundação Nacional do Índio - FUNAI"
PDL 382/2020,2261195,,,Mineração,,,,,,Aguardando Encaminhamento,Resolução N0. 24 de 03 de fevereiro de 2020 da Agência Nacional de Mineração
PDL 417/2020,2263463,,,Meio Ambiente,,,,,,Aguardando Autorização do Despacho. Será apensado ao PDL 414/2020,"Decisões da Reunião Ordinária n° 135 do Conselho Nacional do Meio Ambiente (conama), que alterou a Resolução conama n.º 264/1999, e revogou as Resoluções conama n.ºs 284/2001, 302/2002 e 303/2002."
PDL 414/2020,2263448,,,Meio Ambiente,,,,,,Aguardando Autorização do Despacho,"Resolução no 500, de 29 de setembro de 2020, do Conselho Nacional do Meio Ambiente – CONAMA, que revoga as Resoluções conama 284/2001, 302/2002 e 303/2002."
PDL 415/2020,2263453,,,Meio Ambiente,,,,,,Aguardando Autorização do Despacho. Será apensado ao PDL 414/2020,"Resolução no 500, de 29 de setembro de 2020, do Conselho Nacional do Meio Ambiente – CONAMA, que revoga as Resoluções conama 284/2001, 302/2002 e 303/2002."
PDL 416/2020,2263461,,,Meio Ambiente,,,,,,Aguardando Autorização do Despacho. Será apensado ao PDL 414/2020,"Resolução nº 500 do Conselho Nacional do Meio Ambiente – conama, que revoga as Resoluções conama 284/2001, 302/2002 e 303/2002."
PDL 345/2019,2205541,,,Meio Ambiente,,,,,,Tramitando em Conjunto - Apensado ao PDL 340/2019,"Decreto nº 9.806, de 28 de maio de 2019 que altera o Decreto nº 99.274, de 6 de junho de 1990"
PDL 341/2019,2205479,,,Meio Ambiente,,,,,,Tramitando em Conjunto - Apensado ao PDL 340/2019,"Decreto nº 9.806, de 28 de maio de 2019,  que altera o Decreto nº 99.274, de 6 de junho de 1990"
PDL 342/2019,2205373,,,Meio Ambiente,,,,,,Tramitando em Conjunto - Apensado ao PDL 340/2019,"Decreto nº 9.806, de 28 de maio de 2019,  que altera o Decreto nº 99.274, de 6 de junho de 1990"
PDL 340/2019,2205388,,,Meio Ambiente,,,,,,Pronta para Pauta,"Decreto nº 9.806, de 28 de maio de 2019,  que altera o Decreto nº 99.274, de 6 de junho de 1990"
PDL 362/2019,2205833,,,Meio Ambiente,,,,,,Tramitando em Conjunto - Apensado ao PDL 340/2019,"Decreto nº 9.806, de 28 de maio de 2019,  que altera o Decreto nº 99.274, de 6 de junho de 1990"
PDL 353/2019,2205754,,,Meio Ambiente,,,,,,Tramitando em Conjunto - Apensado ao PDL 340/2019,"Decreto nº 9.806, de 28 de maio de 2019,  que altera o Decreto nº 99.274, de 6 de junho de 1990"
PDL 419/2020,2263588,,,Mineração,,,,,,Aguardando Autorização Devolução,Portaria nº 354 de 28 de setembro de 2020
PDL 420/2020,2263589,,,Meio Ambiente,,,,,,Aguardando Autorização do Despacho. Será apensado ao PDL 414/2020,"Resolução 500 de 29 de setembro de 2020, do Conselho Nacional do Meio Ambiente - conama"
PDL 421/2020,2263619,,,Meio Ambiente,,,,,,Aguardando Autorização do Despacho. Será apensado ao PDL 414/2020,"Resolução 500 de 29 de setembro de 2020, do Conselho Nacional do Meio Ambiente - conama"
PDL 202/2019,,136417,,Meio Ambiente,,,,,,21/10/2020 - AGUARDANDO DESIGNAÇÃO DO RELATOR,"Decreto nº 9.760, de 11 de abril de 2019, que altera o Decreto nº 6.514, de 22 de julho de 2008,"
PDL 37/2020,,140619,,Meio Ambiente,,,,,,11/02/2020 - AGUARDANDO DESIGNAÇÃO DO RELATOR,"Decreto nº 10.224, de 5 de fevereiro de 2020, que revoga o Decreto nº 3.524, de 26 de junho de 2000 e o Decreto nº 6.985, de 20 de outubro de 2009, que regulamenta a Lei nº 7.797, de 10 de julho de 1989, que cria o Fundo Nacional do Meio Ambiente."
PDL 36/2020,,140618,,Meio Ambiente,,,,,,11/02/2020 - AGUARDANDO DESIGNAÇÃO DO RELATOR,"Decreto Presidencial nº 10.224, de 5 de fevereiro de 2020, que Regulamenta a Lei nº 7.797, de 10 de julho de 1989"
PDL 59/2020,,140754,,Meio Ambiente,,,,,,18/02/2020 - AGUARDANDO DESIGNAÇÃO DO RELATOR,"Decreto nº 10.235, de 11 de fevereiro de 2020, que altera o Decreto nº 4.703, de 21 de maio de 2003"
PDL 67/2020,,140895,,Indígenas,,,,,,11/03/2020 - MATÉRIA COM A RELATORIA,"Portaria nº 50, de 21 de janeiro de 2016, do Ministério da Justiça/Fundação Nacional do Índio, e a Portaria nº 17, de 9 de janeiro de 2019, do Ministério da Mulher, da Família e dos Direitos Humanos/Fundação Nacional do Índio/Diretoria de Proteção Territorial."
PDL 85/2020,,141084,,Meio Ambiente,,,,,,13/03/2020 - AGUARDANDO DESIGNAÇÃO DO RELATOR,"Instrução Normativa nº 9, de 16 de abril de 2020, do Ministério da Justiça/Fundação Nacional do Índio"
PDL 187/2020,,141764,,Indígenas,,,,,,30/04/2020 - Secretaria de Atas e Diários,"Instrução Normativa nº 9, de 16 de abril de 2020, do Ministério da Justiça/Fundação Nacional do Índio"
PDL 226/2020,,141968,,Meio Ambiente,,,,,,15/05/2020 - Secretaria de Atas e Diários,"Decreto n° 10.347, de 13 de maio de 2020"
PDL 418/2020,,144966,,Meio Ambiente,,,,,,29/09/2020 - Plenário do Senado Federal (Secretaria Legislativa do Senado Federal),"Resolução no 500, de 28 de setembro de 2020, do Conselho Nacional do Meio Ambiente – CONAMA."
PDL 525/2020,,145734,,Agropecuária,,,,,,07/12/2020 - Secretaria de Atas e Diários,"Portaria Conjunta nº 1, de 2 de dezembro de 2020, do Ministério da Agricultura, Pecuária e Abastecimento."
PDL 452/2020,,145213,,Meio Ambiente,,,,,,21/10/2020 - Secretaria de Atas e Diários,"Resolução nº 499, de 6 de outubro, e da Resolução nº 500, de 21 de outubro, ambas de 2020, do Conselho Nacional do Meio Ambiente – CONAMA."
