id_principal,casa,id_documento,sigla,descricao_tipo_documento,tipo_documento_ext,id_autor,data,url_inteiro_teor,id_leggo,peso_autor_documento,casa_autor,nome_eleitoral,autores
135165,senado,7916180,PDL 25/2019,PDL 25/2019 (Casa iniciadora-SF),Projeto de Decreto Legislativo,6027,2019-02-11,http://legis.senado.leg.br/sdleg-getter/documento?dm=7916180,6ca119cd90139946049c113136bef565,1,senado,Sen. Mecias de Jesus (REPUBLICANOS/RR),Sen. Mecias de Jesus (REPUBLICANOS/RR)
135165,senado,8039928,PDL 25/2019,Relatório Legislativo - SF190588349810,Relatório Legislativo,5535,2019-11-19,http://legis.senado.leg.br/sdleg-getter/documento?dm=8039928,6ca119cd90139946049c113136bef565,1,senado,Sen. Telmário Mota (PROS/RR),Sen. Telmário Mota (PROS/RR)
135175,senado,7916250,PDL 28/2019,PDL 28/2019 (Casa iniciadora-SF),Projeto de Decreto Legislativo,6027,2019-02-11,http://legis.senado.leg.br/sdleg-getter/documento?dm=7916250,ec75a878c8970556016a4e31e2345057,1,senado,Sen. Mecias de Jesus (REPUBLICANOS/RR),Sen. Mecias de Jesus (REPUBLICANOS/RR)
135175,senado,7937319,PDL 28/2019,Relatório Legislativo - SF195461696557,Relatório Legislativo,5535,2019-04-03,http://legis.senado.leg.br/sdleg-getter/documento?dm=7937319,ec75a878c8970556016a4e31e2345057,1,senado,Sen. Telmário Mota (PROS/RR),Sen. Telmário Mota (PROS/RR)
135175,senado,8000883,PDL 28/2019,Relatório Legislativo - SF193071503377,Relatório Legislativo,5535,2019-09-02,http://legis.senado.leg.br/sdleg-getter/documento?dm=8000883,ec75a878c8970556016a4e31e2345057,1,senado,Sen. Telmário Mota (PROS/RR),Sen. Telmário Mota (PROS/RR)
135175,senado,8023591,PDL 28/2019,RQS 889/2019,Requerimento,6027,2019-10-10,http://legis.senado.leg.br/sdleg-getter/documento?dm=8023591,ec75a878c8970556016a4e31e2345057,0.1,senado,Sen. Mecias de Jesus (REPUBLICANOS/RR),Sen. Mecias de Jesus (REPUBLICANOS/RR)
135175,senado,8023591,PDL 28/2019,RQS 889/2019,Requerimento,3806,2019-10-10,http://legis.senado.leg.br/sdleg-getter/documento?dm=8023591,ec75a878c8970556016a4e31e2345057,0.1,senado,Sen. Zequinha Marinho (PSC/PA),Sen. Zequinha Marinho (PSC/PA)
135175,senado,8023591,PDL 28/2019,RQS 889/2019,Requerimento,5982,2019-10-10,http://legis.senado.leg.br/sdleg-getter/documento?dm=8023591,ec75a878c8970556016a4e31e2345057,0.1,senado,Sen. Alessandro Vieira (CIDADANIA/SE),Sen. Alessandro Vieira (CIDADANIA/SE)
135175,senado,8023591,PDL 28/2019,RQS 889/2019,Requerimento,5540,2019-10-10,http://legis.senado.leg.br/sdleg-getter/documento?dm=8023591,ec75a878c8970556016a4e31e2345057,0.1,senado,Sen. Fernando Bezerra Coelho (MDB/PE),Sen. Fernando Bezerra Coelho (MDB/PE)
135175,senado,8023591,PDL 28/2019,RQS 889/2019,Requerimento,5998,2019-10-10,http://legis.senado.leg.br/sdleg-getter/documento?dm=8023591,ec75a878c8970556016a4e31e2345057,0.1,senado,Sen. Daniella Ribeiro (PP/PB),Sen. Daniella Ribeiro (PP/PB)
135175,senado,8023591,PDL 28/2019,RQS 889/2019,Requerimento,5012,2019-10-10,http://legis.senado.leg.br/sdleg-getter/documento?dm=8023591,ec75a878c8970556016a4e31e2345057,0.1,senado,Sen. Randolfe Rodrigues (REDE/AP),Sen. Randolfe Rodrigues (REDE/AP)
