ano_materia,autoria_texto,casa,id_principal,id_documento,data_texto,descricao_identificacao_materia,descricao_objetivo_processo,descricao_subtipo_materia,descricao_texto,descricao_tipo_texto,formato_texto,identificacao_comissao_codigo_comissao,identificacao_comissao_nome_casa_comissao,identificacao_comissao_nome_comissao,identificacao_comissao_sigla_casa_comissao,identificacao_comissao_sigla_comissao,indicador_tramitando,nome_casa_identificacao_materia,numero_emenda,numero_materia,sigla_casa_identificacao_materia,sigla_subtipo_materia,tipo_documento,url_texto
2020,"Senador Jaques Wagner (PT/BA), Senador Rogério Carvalho (PT/SE), Senador Humberto Costa (PT/PE), Senador Paulo Rocha (PT/PA)",senado,144966,8894833,2020-09-28,PDL 418/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,PDL 418/2020,Projeto de Decreto Legislativo,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00418,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8894833
2020,Senador Rogério Carvalho (PT/SE),senado,144966,8894907,2020-09-29,PDL 418/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,RQS 2458/2020,Requerimento,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00418,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8894907
2020,Senador Humberto Costa (PT/PE),senado,144966,8894918,2020-09-29,PDL 418/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,RQS 2460/2020,Requerimento,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00418,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8894918
2020,Senador Paulo Rocha (PT/PA),senado,144966,8895061,2020-09-29,PDL 418/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,RQS 2470/2020,Requerimento,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00418,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8895061
2020,Senado Federal,senado,145734,8910721,2020-12-07,PDL 525/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00525,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8910721
2020,Senador Fabiano Contarato (REDE/ES),senado,145734,8910654,2020-12-07,PDL 525/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,PDL 525/2020,Projeto de Decreto Legislativo,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00525,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8910654
2020,Senado Federal,senado,145213,8901527,2020-10-21,PDL 452/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00452,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8901527
2020,"Senador Fabiano Contarato (REDE/ES), Senadora Mara Gabrilli (PSDB/SP)",senado,145213,8901489,2020-10-21,PDL 452/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,PDL 452/2020,Projeto de Decreto Legislativo,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00452,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8901489
2020,Senadora Mara Gabrilli (PSDB/SP),senado,145213,8901521,2020-10-21,PDL 452/2020,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,RQS 2545/2020,Requerimento,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00452,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8901521
2019,Senador Mecias de Jesus (PRB/RR),senado,135165,7916180,2019-02-11,PDL 25/2019,Iniciadora,PROJETO DE DECRETO LEGISLATIVO,PDL 25/2019 (Casa iniciadora-SF),Projeto de Decreto Legislativo,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00025,SF,PDL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7916180
